job_skills,full_name
"customer service , fastpaced environment , english , french , written communication , oral communication , problemsolving , independent work , team environment , flight checkin , aircraft boarding , aircraft deplaning , safety procedures , regulatory procedures , customer service initiatives , administration duties , reporting , charter flights , health benefits , dental benefits , vision benefits , life insurance , defined contribution pension plan , employee stock purchase plan , employee tuition assistance program , employee family assistance programs , growth opportunities , development opportunities",Angela Roberts
"customer service , communication , problem solving , computer proficiency , ms suite , typing , attention detail , multitasking , bilingual , office equipment , high school diploma , file management , telephone handling",Brian Beasley
"customer service , cash register , stocking , cleaning , planograms , high school diploma , six months supervisory experience , walking , standing , bending , kneeling , lifting , climbing , fastpaced environment , moderate noise level , outside weather conditions , driving",Michael Fisher
"interviewing , tax returns , business growth , teamwork , tax expertise , communication , interpersonal , h r block income tax course , continuing education , customer service , retail , sales , marketing , fastpaced work , parttime work , medical coverage , k , employee stock purchase plan , tax preparation benefit , flexible hours , remote work , inclusive workplace , equal opportunity employer",Julian Weaver
"customer service , account development , customer satisfaction , telephone skills , data entry , , edi , communication skills , organizational skills , keyboard skills",Lance Mcdonald
"customer service , cash register operation , merchandise stocking recovery , store cleaning , planogram implementation maintenance , store opening closing , team leadership , communication skills , safety policies practices , planogram merchandise presentation guides , mathematical calculations , cash handling procedures , cashier accountability deposit control , supervisory experience , walking standing , bending stooping kneeling , merchandise equipment handling , lifting , climbing , fastpaced environment , noise level , weather conditions , driving",Jeremy Turner
"facetoface communication , tax interviews , tax preparation , irs requirements , h r block income tax course , customer service , sales , marketing , fastpaced environment , teamwork , collaboration , high school diploma , continuing education , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible work opportunities , remote work opportunities",Daniel Rubio
"communication , tax preparation , sales , marketing , customer service , teamwork , time management , problemsolving , high school diploma , continuing education requirement , irs state requirements",Samantha Lawson
"customer service , retail , cashiering , communication , teamwork , problemsolving , high school diploma , ability stand walk , lifting carrying , bending twisting , grasping reaching",Mark Koch
"customer service , communication skills , microsoft office , problemsolving , time management , teamwork , detailorientation , empathy , flexibility , adaptability , high school diploma ged , bilingual spanish plus , computer skills",Matthew Copeland
"cash handling , cashier operations , communication skills , customer service , implementing planograms , inventory management , lifting , mathematical calculations , merchandise stocking , safety policies , store operations , time management , verbal communication , high school diploma",Joseph Stephens
"communication skills , customer service , microsoft word , microsoft excel , data entry , verbal communication , written communication , problem solving , attention detail , teamwork , interpersonal skills , multitasking , organization , prioritization , time management , high school diploma , general education degree , moving industry experience , physical fitness",Margaret Freeman
"leadership , inventory management , food safety , internal communication , scheduling , quality food production , crew management , daily maintenance cleanliness , training , exceptional customer service , safety security",Amy Frazier
"shift management , leadership , food safety , communication , inventory management , maintenance , crew management , quality production , customer service , safety , scheduling , training , high school diploma , english second language , medical coverage , dental coverage , vision coverage , flexible spending accounts , disability insurance , leaves absence , service awards",Tony Mckinney
"customer service , cashier operation , stocking merchandising , store cleaning , planogram implementation maintenance , opening closing store procedures , interpersonal oral communication , safety policies practices , planogram merchandise presentation guidelines , mathematical calculations , cash register functions , cash facility safety control policies practices , cash handling procedures , high school diploma , six months supervisory experience , frequent walking standing , frequent bending stooping kneeling , frequent handling merchandise equipment , frequent lifting pounds , occasional lifting pounds , occasional climbing heights six feet , fastpaced environment , moderate noise level , occasional exposure outside weather conditions , occasional regular driving",Robert Wallace
"customer service , sales , cash register operation , inventory management , housekeeping , planogram implementation , policy procedure knowledge , communication , mathematics , safety , cashier accountability , bank deposits , high school diploma equivalent , supervisory experience , physical stamina , lifting , climbing , driving",Elizabeth Simmons
"customer service , cash register operation , merchandising , cleaning , planogram implementation , store opening closing , communication , safety , mathematical calculations , cash handling , supervisory experience , walking , standing , bending , stooping , kneeling , lifting , climbing , fastpaced environment , noise , driving , transportation",Barbara Hopkins
"tax preparation , customer service , sales , marketing , teamwork , collaboration , effective communication , h r block income tax course , continuing education , irs compliance , high school diploma , fastpaced environment , flexible work schedule , remote work , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit",Melissa Hernandez
"tax preparation , client service , retail experience , sales experience , marketing experience , fastpaced work environment , teamwork , collaboration , irs compliance , state compliance , h r block income tax course completion , continuing education , high school diploma",Omar Moore
"customer service , sales , communication , teamwork , problemsolving , retail experience , cashiering experience , high school diploma , ability stand walk hours , ability lift carry pounds , ability push pull arms force pounds , ability bend waist twisting , ability grasp reach manipulate objects hands",Christopher Daniels
"interpersonal communication , tax preparation , sales , marketing , teamwork , customer service , microsoft office suite , high school diploma",Sheila Bailey
"customer service , cashier , merchandising , stocking , cleaning , planograms , safety , communication , mathematics , cash handling , driving , high school diploma , supervisory experience , walking , standing , bending , stooping , kneeling , lifting , climbing , fastpaced environment , noise , outside weather conditions , driving",Keith Nash
"customer service , communication , teamwork , problemsolving , quick thinking , customer service experience , motivation advance , willingness learn , diversity inclusion , employment equity",Matthew Allison
"food safety , internal communication , inventory management , daily maintenance cleanliness , managing crew , quality food production , exceptional customer service , safety security , scheduling , training , leadership experience , team player , flexible schedule , passion fast paced work , paid vacation , archways opportunity program , medical dental vision coverage , quarterly bonus program , employee resource connection",Curtis Harrell
"shift management , leadership , food safety , communication , inventory management , maintenance , crew management , quality assurance , customer service , safety , scheduling , training , restaurant experience , team player , flexible schedule , passion fastpaced environment , years older , paid vacation , paid holidays , sabbatical , education assistance , medical coverage , dental coverage , vision coverage , flexible spending accounts , disability insurance , life insurance , accident insurance , paid leaves absence , service awards , employee resource connection , adoption assistance , matching gifts program",Brendan Johnson
"restaurant management , basic math , flexible schedule , high energy , qsr experience , integrity , service , excellence , courage , operations excellence , training development , personal career growth , benefits rewards , comprehensive benefits , medical dental plans , bonuses , opportunities advancement , compensation",Todd Harris
"food safety , internal communication , inventory management , daily maintenance cleanliness , managing crew , quality food production , exceptional customer service , safety security , scheduling , training , leadership , teamwork , flexibility , fastpaced environment , customer service",Joseph Nelson
"tax interviews , tax return preparation , business growth , client retention , teamwork , collaboration , tax expertise , communication , h r block income tax course , continuing education , high school diploma , customer service , retail , sales , marketing , work fastpaced environment , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible work options , remote work options",Ashley Alvarez
"customer service , retail , sales , cashiering , communication , teamwork , problem solving , high school diploma equivalent , ability stand walk hours , ability lift carry pounds , ability push pull force pounds , ability bend waist grasp reach objects , ability climb ladder",Tina Pace
"customer service , data entry , microsoft office word excel , administrative skills , communication skills , attention detail , ndis worker screening clearance , wwcc working children check , covid vaccination evidence",Alexandria Sherman
"tax interviews , tax returns preparation , business growth , client retention , teamwork , collaboration , h r block income tax course , continuing education , high school diploma , customer service , retail experience , sales , marketing , fastpaced environment , peak tax season , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible work opportunities , remote work , collaborative teams , connected culture , trust , care , connections , diversity , equal opportunity employer",Hector Pena
"retail sales , customer service , cashier operations , merchandising , inventory management , planogram implementation , store operations , safety security , cash handling , cash register skills , mathematical calculations , communication skills , teamwork , problemsolving , attention detail , physical stamina , ability work fastpaced environment , high school diploma equivalent , six months supervisory experience related experience training preferred",Paul Vasquez
"customer service , cashiering , retail sales , communication , teamwork , problem solving , high school diploma , motivation , willingness learn , physical strength , eyehand coordination , ability stand walk extended periods , ability lift carry pounds , ability bend twist waist , ability grasp manipulate objects , ability climb ladder",Nicole Clark
"customer service , problem solving , communication , telephone etiquette , note taking , data entry , computer skills , high school diploma ged , background drug screening , physical job requirements",Matthew Mcgee
"customer service , cash register operation , stocking recovering merchandise , cleaning , planogram implementation maintenance , store opening closing , communication , safety , planogram reading , mathematical calculations , cash handling , facility control , safety control , driving , high school diploma , supervisory experience , walking , standing , bending , stooping , kneeling , lifting , climbing , fastpaced environment , noise , outside weather conditions , driving",Todd Dennis
"tax preparation , communication , teamwork , customer service , sales , marketing , fastpaced environment , tax interviews , tax returns , business growth , client retention , irs state requirements , high school diploma , h r block income tax course , continuing education , medical coverage , k retirement savings plan , employee stock purchase plan",Kyle Mejia
"customer service , team management , food safety regulations , food preparation , food handling permit , alcohol server permit , leadership , communication , problem solving , coaching , employee development , high school diploma ged , years work experience , year management experience , physical fitness , written verbal communication , initiative",Samuel Santiago
"customer service , communication , problem solving , multitasking , attention detail , active listening , empathy , patience , phone , email , live chat , crossfunctional collaboration",Brandon Joseph
"leadership , planning , monitoring , safety , communication , inventory management , cleanliness , crew management , food production , customer service , scheduling , training , food safety , internal communication",Mary Hopkins
"irs compliance , tax preparation , customer communication , sales marketing , teamwork collaboration , peak season availability , h r block income tax course , continuing education requirement , high school diploma equivalent , fastpaced environment experience , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible remote work opportunities , connected culture",Eric Jacobson
"communication skills , typing proficiency , data entry experience , customer service , call center experience , laboratory experience , problemsolving skills , medical assistant training , key proficiency , fastpaced environment , medical terminology , billing claims processing , account analysis , quality control , safety compliance , high school diploma equivalent",Marie Thornton
"customer service , cash register operation , stocking recovering merchandise , store cleaning , planogram implementation maintenance , supervisory experience , safety policies practices , mathematical calculations , interpersonal oral communication , merchandising presentation guides , facility control policies practices , cash handling procedures , cashier accountability , deposit control , high school diploma equivalent , six months supervisory experience , frequent walking standing , frequent bending stooping kneeling , frequent handling merchandise equipment , frequent proper lifting pounds , occasional lifting pounds , occasional climbing feet , fastpaced environment , moderate noise level , occasional exposure outside weather conditions , occasional regular driving providing transportation",Melissa Pugh
"customer service , teamwork , communication , problemsolving , quick thinking , sales , retail , cashiering , high school diploma , ability stand walk long periods , ability lift carry heavy objects , ability bend twist waist , ability grasp manipulate objects hands , ability climb ladder",Rachel Mcguire
"tax interview , tax return preparation , business growth , teamwork , tax expertise , communication , customer service , sales , marketing , fastpaced environment , irs compliance , high school diploma , continuing education , k retirement savings plan , employee stock purchase plan , flexible work arrangements , remote work opportunities , collaborative teams , equal opportunity employer , diversity inclusion",Leslie Cook
"servsafe certification , leadership experience , team player , flexible schedule , fastpaced environment , food safety , internal communication , inventory management , daily maintenance cleanliness , managing crew , quality food production , exceptional customer service , safety security , scheduling , training , medical coverage , pretax flexible spending accounts , free uniforms , employee meals , service awards , tuition assistance , college degree , english classes second language",Darren Snyder
"customer service , communication , teamwork , problem solving , critical thinking , retail experience , cashiering experience , high school diploma , motivation , willingness learn , ability stand long periods , ability lift carry heavy objects , ability push pull objects , ability bend twist , ability grasp manipulate objects , eyehand coordination",Brandon Ruiz
"customer service , cash register operation , merchandising , cleaning , planogram implementation , communication , safety , mathematical calculations , cash handling , driving , high school diploma , supervisory experience , physical stamina , ability lift heavy objects , ability climb",Bobby Phelps
"leadership , communication , inventory management , daily maintenance , crew management , food production , customer service , safety , scheduling , training , restaurant experience , team player , flexibility , passion , high school degree , college tuition assistance , english second language , medical coverage , dental coverage , vision coverage , flexible spending accounts , disability insurance , paid leaves absence , service awards , employee resource connection , adoption assistance , matching gifts program",Christian Gomez
"customer service , communication skills , store management , cash handling , merchandising , stocking , safety , planograms , cash register operation , mathematical calculations , high school diploma , supervisory experience , physical strength , ability drive",Andrea Henderson
"food safety , internal communication , inventory management , daily maintenance , cleanliness , managing crew , quality food production , exceptional customer service , safety security , scheduling , training , leadership , flexibility , teamwork , hospitality , high school diploma , college tuition assistance , english second language , medical dental vision coverage , short longterm disability , life accident insurance , paid leaves absence",John Mccann
"teamwork , leadership , communication , customer service , problemsolving , food safety , cleanliness , safety , inventory management , profitability , training , education , results orientation",Paul Berg
"tax preparation , tax laws regulations , client communication , sales marketing , teamwork collaboration , problemsolving , time management , high school diploma equivalent , h r block income tax course",Debbie Johnson
"customer service , cash register operation , stocking , cleaning , planogram implementation maintenance , mathematical calculation , safety policies practices , communication skills , cash handling procedures , supervisory experience , high school diploma , ability lift pounds , ability climb feet , driving",Julie Kelly
"customer service , telephone inquiries , problem solving , data entry , communication , teamwork , sales , escalation handling , high school diploma , computer literacy , experience years , collection experience , technical support experience , verbal written communication skills , collaboration skills , oncall work , weekend evening holiday work",Donald Wilson
"restaurant management , retail management , exceptional customer service , performance initiatives , training initiatives , quick serve , fast casual",Mrs. Melissa Reyes DVM
"tax interviews , tax return preparation , business growth , client retention , teamwork , collaboration , tax expertise , communication , h r block income tax course , continuing education , high school diploma , customer service , retail environment , sales , marketing , fastpaced environment , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible work arrangements , remote work opportunities , diversity inclusion , equal opportunity employer",Kelsey Porter
"facetoface communication , conducting tax interviews , tax preparation , business growth , client retention , teamwork , collaboration , customer service , sales , marketing , fastpaced environment , working hours per week , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , flexible remote opportunities , trust , care , connections , diversity , equal opportunity employer",Jordan Foster
"customer service , cashier operation , merchandising , cleaning , planogram implementation maintenance , store opening closing , safety policies practices , mathematical calculations , cash handling procedures , cash control , deposit control , driving , high school diploma , supervisory experience , walking , standing , bending , stooping , kneeling , lifting , climbing , fastpaced environment , noise level , outside weather conditions , driving",Christine Gonzalez
"customer service , cash handling , stock management , inventory management , planogram implementation , mathematical calculations , communication skills , safety policies practices , store operations , high school diploma , supervisory experience , physical ability , ability drive , occasional exposure outside weather conditions , regular driving make bank deposits",Mark Peterson
"tax interviews , tax returns preparation , business growth , teamwork , tax expertise , communication skills , virtual communication , h r block income tax course , continuing education , irs requirements , high school diploma , customer service experience , retail experience , sales experience , marketing experience , fastpaced environment , hours per week availability , medical coverage , k retirement savings plan , employee stock purchase plan , tax preparation benefit , flexible remote work opportunities , trust , care , connections , best companies lists , equal opportunity employer , diversity",Alexis Scott MD
"tax preparation , facetoface communication , customer service , retail experience , sales experience , marketing experience , fastpaced environment , teamwork , collaboration , income tax course , irs state requirements , high school diploma equivalent , minimum hours per week peak tax season , medical coverage , mental health support , coaching , k retirement savings plan , employee stock purchase plan , flexible remote opportunities , diversity inclusion , equal opportunity employer",Sylvia Black
"communication verbal written , customer service , teamwork , fastpaced environment , sales , marketing , tax preparation , h r block income tax course , irs applicable state requirements , high school diploma equivalent , microsoft office , accounting , legal regulatory compliance",Linda Wood
"customer service , order taking , order fulfillment , delivery information , problem resolution , critical thinking , first call resolution , technical support , business resources , customer relationship management , erp system , credit card processing , expedite requests , third party transportation arrangements , product quoting , open order review , exception escalation , return requests , invoice adjustment requests , document retention , project support , bachelor degree , ms office proficiency , multitasking , communication skills , customer satisfaction , attention detail , followup skills , prioritization , teamwork , adaptability , change management , training",Tonya Campbell
"customer service , cash register operation , merchandising , cleaning , planogram implementation , store opening closing , supervisory experience , communication , safety , mathematical calculations , cash handling , driving , high school diploma",Donna Blackburn
"customer service , cash register operation , merchandising , cleaning , planogram implementation , store management , communication skills , safety knowledge , mathematical skills , cash handling procedures , basic computer skills , high school diploma , supervisory experience , physical stamina , ability lift heavy objects , ability work fastpaced environment , ability work independently , knowledge company policies procedures , ability drive , microsoft office suite",Dana Webb
"customer service , sales , marketing , teamwork , effective communication , tax expertise , h r block income tax course , continuing education requirement , high school diploma , irs applicable state requirements , flexible work schedule , medical coverage , k retirement savings plan , employee stock purchase plan , tax prep benefit , diversity inclusion , equal opportunity employer",Joseph Brown
"customer service , food safety , internal communication , restaurant management , inventory management , scheduling , team leadership , training , daily maintenance , food production , safety security",Anthony Wells
"customer relationship advocate , financial services , finra , sie , series , series , problemsolving , hybrid work , technology , communication , customer service , financial services industry , empathy , decisionmaking , finra sie , finra series , finra series",Haley Santiago
"customer service , cash register operation , stocking , merchandising , cleaning , planogram implementation , store management , communication , safety , mathematical calculations , cash handling , supervisory experience",Frank Richard
"customer service , cashier , stocking , cleaning , planogram management , store opening closing , communication , safety , planogram reading , mathematical calculations , cash register , cash handling , driving , high school diploma , supervisory experience , walking , standing , bending , stooping , kneeling , lifting , climbing , fastpaced environment , noise level , weather conditions , driving transportation",Jessica Davis
"customer service , communication , positivity , respect , integrity , commitment , teamwork , learning , teaching , motivation , confidence , cadence , goaldriven , fastpaced , attention detail , call board , customer rapport , outbound calling , problemsolving , brand promotion , professionalism , empathy , trust , multitasking , sound judgement , active listening , task completion , new ideas , background check , drug screening",Tammie Ayers
"tax interviews , tax return preparation , tax expertise , communication inperson virtual , h r block income tax course , continuing education , high school diploma , customer service , sales , marketing , fastpaced work environment , medical coverage , k retirement savings plan , employee stock purchase plan , tax preparation benefit , flexible work opportunities , collaborative teams , diversity inclusion , equal opportunity employer",Curtis Roberts
"cash register operation , customer service , retail sales , product stocking recovery , store cleaning , planogram implementation maintenance , supervisory experience , interpersonal communication , oral communication , safety policies practices , mathematical calculations , cash handling procedures , facility control policies practices , safety control policies practices , high school diploma equivalent , warehouse experience",Blake Williams
"food safety , internal communication , inventory management , restaurant management , leadership , quality food production , customer service , safety security , scheduling , training , high school diploma , english second language , college tuition assistance , medical dental vision coverage , short longterm disability , life accident insurance , free meals , k , flexible schedule , team player",Patrick Mack
